DATE,Open,High,Low,Close,Adj Close,Volume
472,11258.7002,11300.2002,11125.59961,11148.2002,11148.2002,357600
473,11151.65039,11294.75,11108.29981,11222.04981,11222.04981,398100
474,11271.7002,11286.79981,11136.9502,11157,11157,414200
475,11180.34961,11281.54981,11143.34961,11257.09961,11257.09961,350700
476,11261.90039,11426.15039,11259.84961,11407.15039,11407.15039,412100
477,11651.90039,11845.2002,11591.7002,11828.25,11828.25,452100
478,11863.65039,11883.54981,11682.79981,11709.09961,11709.09961,381000
479,11727.9502,11784.79981,11682.40039,11737.90039,11737.90039,355900
480,11901.29981,12041.15039,11614.5,11657.04981,11657.04981,569000
481,11748,11859,11658.09961,11844.09961,11844.09961,374600
482,11855.5,11957.15039,11812.40039,11924.75,11924.75,348400
483,11958.34961,11958.54981,11864.90039,11928.75,11928.75,598300
484,11905.79981,11931.90039,11836.79981,11861.09961,11861.09961,318100
485,11865.29981,11968.54981,11859.40039,11945.90039,11945.90039,421200
486,11999.79981,12039.25,11829.4502,11922.79981,11922.79981,438900
487,11953.75,12103.04981,11920.09961,12088.54981,12088.54981,315300
488,12052.65039,12095.2002,12005.84961,12021.65039,12021.65039,289200
489,12039.79981,12039.79981,11830.25,11843.75,11843.75,415200
490,11865.2002,11897.5,11769.5,11870.65039,11870.65039,302500
491,11934.90039,11975.04981,11871.75,11922.7002,11922.7002,303300
492,11959.84961,12000.34961,11904.34961,11965.59961,11965.59961,332200
493,11962.4502,11962.4502,11866.34961,11906.2002,11906.2002,283700
494,11873.90039,11931.34961,11817.04981,11914.04981,11914.04981,447900
495,11910.09961,11911.84961,11797.7002,11823.29981,11823.29981,390300
496,11844,11844.04981,11657.75,11672.15039,11672.15039,295500
497,11677.04981,11727.2002,11641.15039,11691.5,11691.5,365500
498,11744.4502,11802.5,11625.09961,11691.4502,11691.4502,446900
499,11653.65039,11843.5,11635.04981,11831.75,11831.75,442000
500,11827.59961,11827.9502,11705.09961,11724.09961,11724.09961,468400
501,11725.79981,11754,11670.2002,11699.65039,11699.65039,277600
502,11681,11814.40039,11651,11796.4502,11796.4502,300500
503,11768.15039,11871.84961,11757.54981,11847.54981,11847.54981,327900
504,11860.84961,11911.15039,11821.04981,11841.54981,11841.54981,480200
505,11861.15039,11871.7002,11775.5,11788.84961,11788.84961,303900
506,11839.90039,11884.65039,11830.79981,11865.59961,11865.59961,278400
507,11890.29981,11917.4502,11814.7002,11910.29981,11910.29981,363200
508,11932.15039,11945.2002,11887.04981,11916.75,11916.75,340500
509,11928.79981,11969.25,11923.65039,11946.75,11946.75,333600
510,11964.75,11981.75,11797.90039,11811.15039,11811.15039,530700
511,11770.40039,11771.90039,11523.29981,11558.59961,11558.59961,464000
512,11531.59961,11582.54981,11461,11555.90039,11555.90039,442500
513,11536.15039,11593.7002,11475.65039,11498.90039,11498.90039,337600
514,11561.4502,11599,11519.5,11582.90039,11582.90039,317300
515,11601.15039,11639.54981,11538.59961,11552.5,11552.5,359400
516,11614.75,11618.40039,11532.29981,11588.34961,11588.34961,368800
517,11596.65039,11670.04981,11573.9502,11662.59961,11662.59961,480200
518,11670.75,11706.65039,11651.15039,11687.5,11687.5,464800
519,11675.59961,11677.15039,11582.40039,11596.90039,11596.90039,498300
520,11627.9502,11640.34961,11399.29981,11419.25,11419.25,446000
521,11392.84961,11398.15039,11301.25,11346.2002,11346.2002,516000
522,11372.25,11398.15039,11302.79981,11331.04981,11331.04981,458900
523,11322.4502,11359.75,11229.79981,11271.29981,11271.29981,413200
524,11290.40039,11361.40039,11239.34961,11252.15039,11252.15039,553700
525,11247.4502,11307.59961,11210.04981,11284.29981,11284.29981,522700
526,11307.5,11310.9502,11152.40039,11189.2002,11189.2002,482900
527,11213.7002,11267.4502,11072.65039,11085.40039,11085.40039,479100
528,11034.04981,11145.29981,10999.40039,11118,11118,536700
529,11060.2002,11076.75,10881,10980,10980,499900
530,10930.29981,11080.15039,10848.9502,10997.34961,10997.34961,547400
531,10895.79981,10895.79981,10782.59961,10862.59961,10862.59961,506600
532,10815.40039,11018.54981,10813.79981,10948.25,10948.25,517900
533,10958.09961,10975.65039,10835.90039,10855.5,10855.5,548500
534,10899.2002,11058.04981,10842.9502,11032.4502,11032.4502,482500
535,11087.90039,11181.4502,11062.79981,11109.65039,11109.65039,538100
536,11139.40039,11145.90039,10901.59961,10925.84961,10925.84961,624600
537,11003.25,11078.15039,10935.59961,11029.40039,11029.40039,511500
538,11043.65039,11068.65039,10924.29981,11047.79981,11047.79981,470900
539,11094.79981,11146.90039,11037.84961,11053.90039,11053.90039,369500
540,11063.90039,11076.29981,10985.29981,11017,11017,444700
541,11018.15039,11034.2002,10906.65039,10918.7002,10918.7002,557900
542,10905.29981,10908.25,10718.29981,10741.34961,10741.34961,668200
543,10699.59961,10862.54981,10637.15039,10829.34961,10829.34961,667100
544,11000.29981,11070.29981,10756.54981,11057.84961,11057.84961,684100
545,11106.54981,11141.75,11049.5,11105.34961,11105.34961,685600
546,11101.29981,11129.65039,10987.65039,11046.09961,11046.09961,550000
547,10996.04981,11021.09961,10922.40039,10948.29981,10948.29981,649900
548,10987.79981,11042.59961,10874.79981,11023.25,11023.25,628200
549,10960.9502,10967.5,10772.7002,10797.90039,10797.90039,483000
550,10790.40039,10858.75,10746.34961,10844.65039,10844.65039,508800
551,10860.9502,10920.09961,10816,10847.90039,10847.90039,595700
552,10883.79981,10957.04981,10867.4502,10946.2002,10946.2002,497200
553,10936.7002,11028.84961,10889.79981,11003.04981,11003.04981,412500
554,11028.5,11054.79981,11011.65039,11035.7002,11035.7002,687100
555,11058.29981,11081.75,10964.9502,10982.79981,10982.79981,551400
556,10986.79981,11084.4502,10945.75,11075.90039,11075.90039,624300
557,10994.84961,11052.7002,10968.2002,11003.5,11003.5,434500
